,Title,ReleaseYear,CriticsTomatometer,MovieUrl,AORotFresh
32,Nina,2016,3%,/m/nina_2016/,0
33,Sing Street,2016,97%,/m/sing_street/,1
34,Green Room,2016,91%,/m/green_room_2016/,1
35,Barbershop: The Next Cut,2016,90%,/m/barbershop_the_next_cut_2016/,1
36,Louder Than Bombs,2016,69%,/m/louder_than_bombs_2016/,0
37,11 Minutes (11 Minut),2016,71%,/m/11_minutes/,1
38,Staub (Dust),2007,80%,/m/staub-dust/,1
39,Vita Activa: The Spirit of Hannah Arendt,2016,93%,/m/771438709/,1
40,Notfilm,,100%,/m/notfilm/,1
41,Francofonia,2016,88%,/m/francofonia/,1
42,Everybody Wants Some!!,2016,87%,/m/everybody_wants_some/,1
43,Batman v Superman: Dawn of Justice,2016,27%,/m/batman_v_superman_dawn_of_justice/,0
44,The Clan (El Clan),2016,90%,/m/the_clan_2016/,1
45,Midnight Special,2016,83%,/m/midnight_special_2015/,1
46,City Of Gold,2016,90%,/m/city_of_gold_2016/,1
47,Knight of Cups,2016,46%,/m/knight_of_cups/,0
48,The Club (El Club),2016,87%,/m/the_club_2016/,1
49,Rams (Hrútar),2016,95%,/m/rams/,1
50,"Rabin, the Last Day",2016,65%,/m/rabin_the_last_day/,1
51,Aferim!,2016,98%,/m/aferim/,1
52,Bleak Street (La calle de la amargura),2016,50%,/m/bleak_street/,0
53,Ride Along 2,2016,15%,/m/ride_along_2/,0
54,In The Shadow of Women,2016,94%,/m/in_the_shadow_of_women/,1
55,The Treasure,2016,93%,/m/the_treasure_2016/,1
56,Joy,2015,61%,/m/joy_2014/,1
57,The Hateful Eight,2015,75%,/m/the_hateful_eight/,0
58,45 Years,2015,97%,/m/45_years/,1
59,Son of Saul,2015,96%,/m/son_of_saul/,1
60,Sisters,2015,60%,/m/sisters_2015/,0
61,The Big Short,2015,88%,/m/the_big_short/,1
62,Don Verdean,2015,30%,/m/don_verdean/,1
63,Krampus,2015,65%,/m/krampus/,0
64,Youth,2015,73%,/m/youth_2015/,0
65,"Arabian Nights: Volume 1 - The Restless One (As Mil e Uma Noites: Volume 1, O Inquieto)",2015,97%,/m/as_mil_e_uma_noites_volume_1_o_inquieto/,0
66,The Danish Girl,2015,68%,/m/the_danish_girl_2015/,0
67,Creed,2015,94%,/m/creed_2015/,1
68,The Night Before,2015,66%,/m/the_night_before_2015/,0
69,Carol,2015,94%,/m/carol/,1
70,The 33,2015,44%,/m/the_33/,1
71,Miss You Already,2015,69%,/m/miss_you_already/,1
72,Spotlight,2015,96%,/m/spotlight_2015/,1
73,Brooklyn,2015,97%,/m/brooklyn/,1
74,Nasty Baby,2015,67%,/m/nasty_baby/,1
75,Suffragette,2015,73%,/m/suffragette/,1
76,The Assassin,2015,80%,/m/the_assassin_2015/,0
77,Crimson Peak,2015,71%,/m/crimson_peak/,0
78,Beasts of No Nation,2015,92%,/m/beasts_of_no_nation/,1
79,Pan,2015,27%,/m/pan_2015/,0
80,Winter on Fire: Ukraine's Fight for Freedom,2015,95%,/m/winter_on_fire_ukraines_fight_for_freedom/,1
81,Steve Jobs,2015,86%,/m/steve_jobs_2015/,1
82,Jafar Panahi's Taxi,2015,95%,/m/jafar_panahis_taxi/,1
83,Brand: A Second Coming,2015,71%,/m/brand_a_second_coming/,0
84,The Walk,2015,85%,/m/the_walk_2015/,1
85,Mississippi Grind,2015,89%,/m/mississippi_grind/,1
86,99 Homes,2015,92%,/m/99_homes/,1
87,Sicario,2015,94%,/m/sicario_2015/,0
88,Black Mass,2015,75%,/m/black_mass_2015/,0
89,Everest,2015,73%,/m/everest_2015/,0
90,Time Out Of Mind,2015,78%,/m/time_out_of_mind_2015/,1
91,Coming Home,2015,92%,/m/coming_home_2014/,1
92,The Black Panthers: Vanguard Of The Revolution,2015,93%,/m/the_black_panthers_vanguard_of_the_revolution_2015/,1
93,When Animals Dream,2015,74%,/m/when_animals_dream/,1
94,The Iron Ministry,2015,86%,/m/the_iron_ministry/,1
95,Digging For Fire,2015,66%,/m/digging_for_fire/,1
96,Grandma,2015,92%,/m/grandma_2015/,1
97,Ricki And The Flash,2015,65%,/m/ricki_and_the_flash/,0
98,Fantastic Four,2015,9%,/m/fantastic_four_2015/,0
99,Best Of Enemies,2015,94%,/m/best_of_enemies_2015/,1
100,The Kindergarten Teacher (Haganenet),2015,72%,/m/the_kindergarten_teacher/,1
101,The End Of The Tour,2015,91%,/m/the_end_of_the_tour_2015/,1
102,Phoenix,2015,98%,/m/phoenix_2015/,1
103,Southpaw,2015,61%,/m/southpaw_2015/,0
104,Mr. Holmes,2015,88%,/m/mr_holmes/,1
105,The Look of Silence,2015,96%,/m/the_look_of_silence/,1
106,Ant-Man,2015,81%,/m/antman/,1
107,"10,000 Km",2015,82%,/m/10000_km/,1
108,Self/less,2015,19%,/m/selfless_2015/,0
109,Stray Dog,2015,100%,/m/stray_dog_2015/,1
110,A Poem Is A Naked Person,2015,85%,/m/a_poem_is_a_naked_person/,1
111,Magic Mike XXL,2015,63%,/m/magic_mike_xxl/,1
112,Max,2015,34%,/m/max_2016/,0
113,The Princess Of France,2015,67%,/m/the_princess_of_france/,0
114,Dope,2015,88%,/m/dope_2015/,1
115,Inside Out,2015,98%,/m/inside_out_2015/,1
116,The Tribe,2015,88%,/m/the_tribe_2015/,1
117,Madame Bovary,2015,43%,/m/madame_bovary_2014/,0
118,Me and Earl and the Dying Girl,2015,82%,/m/me_and_earl_and_the_dying_girl/,1
119,Love & Mercy,2015,91%,/m/love_and_mercy/,1
120,Spy,2015,94%,/m/spy_2015/,1
121,A Pigeon Sat on a Branch Reflecting on Existence,2015,89%,/m/a_pigeon_sat_on_a_branch_reflecting_on_existence/,1
122,Entourage,2015,33%,/m/entourage/,0
123,Aloha,2015,19%,/m/aloha_2015/,0
124,Results,2015,83%,/m/results_2015/,1
125,San Andreas,2015,48%,/m/san_andreas/,0
126,Aloft,2015,16%,/m/aloft/,0
127,Tomorrowland,2015,50%,/m/tomorrowland_2015/,0
128,Güeros,2015,94%,/m/gueros/,1
129,Pitch Perfect 2,2015,66%,/m/pitch_perfect_2/,1
130,Animals,2015,85%,/m/animals_2014/,1
131,The Film Critic,2015,48%,/m/the_film_critic/,0
132,Mad Max: Fury Road,2015,97%,/m/mad_max_fury_road/,1
133,1001 Grams,2015,85%,/m/1001_grams/,1
134,Hot Pursuit,2015,7%,/m/dont_mess_with_texas_2014/,0
135,Saint Laurent,2015,58%,/m/saint_laurent/,1
136,Days of Grace,2015,63%,/m/days_of_grace/,1
137,Welcome to Me,2015,73%,/m/welcome_to_me/,1
138,Far From the Madding Crowd,2015,86%,/m/far_from_the_madding_crowd_2014/,1
139,The Forger,2015,7%,/m/the_forger_2014/,0
140,Misery Loves Comedy,2014,36%,/m/misery_loves_comedy/,0
141,Don't Think I've Forgotten: Cambodia's Lost Rock And Roll,2015,100%,/m/dont_think_ive_forgotten_cambodias_lost_rock_and_roll_2014/,1
142,True Story,2015,44%,/m/true_story_2014/,0
143,Tangerines,2015,87%,/m/tangerines/,1
144,Child 44,2015,26%,/m/child_44/,0
145,Rebels of the Neon God,2015,100%,/m/rebels_of_the_neon_god/,1
146,Dior and I,2015,82%,/m/dior_and_i/,0
147,The Longest Ride,2015,30%,/m/the_longest_ride/,0
148,Lambert & Stamp,2015,87%,/m/lambert_and_stamp/,1
149,Cheatin',2015,86%,/m/cheatin/,1
150,Furious 7,2015,79%,/m/furious_7/,1
151,Marfa Girl,2015,27%,/m/marfa_girl/,0
152,Get Hard,2015,29%,/m/get_hard/,0
153,While We're Young,2015,84%,/m/while_were_young/,1
154,La Sapienza,2015,86%,/m/la_sapienza/,1
155,The Gunman,2015,17%,/m/the_gunman_2015/,0
156,Jauja,2015,88%,/m/jauja/,1
157,Two Men in Town,2015,47%,/m/two_men_in_town_2015/,0
158,Merchants Of Doubt,2015,85%,/m/merchants_of_doubt/,1
159,Urok (The Lesson),2015,84%,/m/urok_2015/,0
160,Focus,2015,56%,/m/focus_2014/,1
161,Maps to the Stars,2015,61%,/m/maps_to_the_stars/,1
162,McFarland USA,2015,80%,/m/mcfarland_usa/,1
163,Queen and Country,2015,78%,/m/queen_and_country/,1
164,Da Sweet Blood of Jesus,2015,43%,/m/da_sweet_blood_of_jesus/,1
165,Fifty Shades of Grey,2015,25%,/m/fifty_shades_of_grey/,0
166,The Voices,2015,73%,/m/the_voices/,0
167,Ballet 422,2015,86%,/m/ballet_422/,1
168,Girlhood,2015,96%,/m/girlhood_2015/,1
169,Timbuktu,2015,99%,/m/timbuktu_2015/,1
170,The Duke Of Burgundy,2015,93%,/m/the_duke_of_burgundy/,1
171,Mommy,2015,89%,/m/mommy_2015/,1
172,Mille soleils,,,/m/mille_soleils/,1
173,A Most Violent Year,2015,89%,/m/a_most_violent_year/,1
174,The Interview,2014,52%,/m/the_interview_2014/,1
175,Big Eyes,2014,72%,/m/big_eyes/,1
176,American Sniper,2015,72%,/m/american_sniper/,1
177,Selma,2015,99%,/m/selma/,1
178,"Two Days, One Night",2014,97%,/m/two_days_one_night/,1
179,Annie,2014,27%,/m/annie_2012/,0
180,Mr. Turner,2014,98%,/m/mr_turner/,1
181,Exodus: Gods and Kings,2014,27%,/m/exodus_gods_and_kings/,0
182,The Salt of the Earth,2015,95%,/m/the_salt_of_the_earth/,0
183,Still Alice,2015,88%,/m/still_alice/,1
184,Wild,2014,90%,/m/wild_2014/,1
185,The Babadook,2014,98%,/m/the_babadook/,1
186,The Imitation Game,2014,90%,/m/the_imitation_game/,1
187,Happy Valley,2014,89%,/m/happy_valley_2014/,1
188,Beyond the Lights,2014,82%,/m/beyond_the_lights/,1
189,The Homesman,2014,81%,/m/the_homesman/,1
190,Red Army,2015,97%,/m/red_army_2015/,1
191,Actress,2014,88%,/m/actress_2014/,1
192,The Theory of Everything,2014,79%,/m/the_theory_of_everything_2014/,0
193,Interstellar,2014,71%,/m/interstellar_2014/,1
194,Horns,2014,41%,/m/horns/,1
195,Nightcrawler,2014,95%,/m/nightcrawler/,1
196,Adieu au langage (Goodbye to Language),2014,86%,/m/adieu_au_langage/,1
197,Laggies,2014,67%,/m/laggies/,0
198,White Bird in a Blizzard,2014,56%,/m/white_bird_in_a_blizzard/,0
199,Citizenfour,2014,96%,/m/citizenfour/,1
200,Dear White People,2014,91%,/m/dear_white_people/,1
201,Fury,2014,77%,/m/fury_2015/,1
202,Diplomacy,2014,93%,/m/diplomatie/,1
203,The Judge,2014,48%,/m/the_judge_2014/,0
204,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,61%,/m/alexander_and_the_terrible_horrible_no_good_very_bad_day/,0
205,Whiplash,2014,94%,/m/whiplash_2014/,1
206,Keep On Keepin' On,2014,97%,/m/keep_on_keepin_on/,1
207,"Men, Women & Children",2014,32%,/m/men_women_and_children/,0
208,The Boxtrolls,2014,75%,/m/the_boxtrolls/,1
209,The Equalizer,2014,60%,/m/the_equalizer_2013/,1
210,Stop The Pounding Heart,2014,80%,/m/stop_the_pounding_heart/,1
211,This Is Where I Leave You,2014,40%,/m/this_is_where_i_leave_you/,0
212,The Disappearance of Eleanor Rigby: Them,2014,64%,/m/the_disappearance_of_eleanor_rigby_them/,0
213,Bird People,2014,58%,/m/bird_people/,1
214,The Drop,2014,89%,/m/the_drop/,1
215,Last Days in Vietnam,2014,95%,/m/last_days_in_vietnam/,1
216,The Notebook,2014,65%,/m/a_nagy_fuzet_2013/,1
217,Through a Lens Darkly: Black Photographers and the Emergence of a People,2014,61%,/m/through_a_lens_darkly_black_photographers_and_the_emergence_of_a_people/,1
218,Starred Up,2014,99%,/m/starred_up/,1
219,If I Stay,2014,35%,/m/if_i_stay/,1
220,Love Is Strange,2014,95%,/m/love_is_strange_2014/,1
221,Level Five,2014,100%,/m/level_five/,1
222,Jealousy,2014,70%,/m/jealousy_2014/,1
223,Frank,2014,91%,/m/frank_2014/,1
224,The Hundred-Foot Journey,2014,68%,/m/the_hundred_foot_journey/,0
225,Web Junkie,2014,71%,/m/web_junkie/,0
226,Magic in the Moonlight,2014,52%,/m/magic_in_the_moonlight/,0
227,I Origins,2014,53%,/m/i_origins/,0
228,Sex Tape,2014,17%,/m/sex_tape_2014/,0
229,Dawn Of The Planet Of The Apes,2014,90%,/m/dawn_of_the_planet_of_the_apes/,1
230,Closed Curtain,2014,89%,/m/closed_curtain/,1
231,Whitey: United States of America v. James J. Bulger,2014,78%,/m/whitey_united_states_of_america_v_james_j_bulger/,1
232,Snowpiercer,2014,95%,/m/snowpiercer/,1
233,Begin Again,2014,82%,/m/begin_again_2013/,0
234,Transformers: Age of Extinction,2014,18%,/m/transformers_age_of_extinction/,0
235,"Norte, the End of History",2014,90%,/m/norte_the_end_of_history/,1
236,Venus in Fur,2014,89%,/m/venus_in_fur/,1
237,Heli,2014,61%,/m/heli/,1
238,The Rover,2014,66%,/m/the_rover/,0
239,Burning Bush,2014,100%,/m/burning_bush/,1
240,Dormant Beauty,2014,83%,/m/dormant_beauty/,1
241,Obvious Child,2014,89%,/m/obvious_child/,1
242,The Fault In Our Stars,2014,81%,/m/the_fault_in_our_stars/,1
243,Night Moves,2014,86%,/m/night_moves_2013/,1
244,We Are the Best!,2014,97%,/m/we_are_the_best/,1
245,Gebo et l'ombre,2014,100%,/m/gebo_et_lombre/,1
246,Blended,2014,14%,/m/blended/,0
247,X-Men: Days of Future Past,2014,91%,/m/x_men_days_of_future_past/,1
248,The Dance of Reality,2014,95%,/m/the_dance_of_reality/,1
249,Ai Weiwei: The Fake Case,2014,93%,/m/ai_weiwei_the_fake_case/,1
250,The Immigrant,2014,87%,/m/nightingale_2013/,1
251,Godzilla,2014,74%,/m/godzilla_2014/,0
252,The Double,2014,82%,/m/the_double_2013/,0
253,Neighbors,2014,73%,/m/neighbors_2014/,1
254,Sol LeWitt,2014,83%,/m/sol_lewitt_2013/,1
255,Ida,2014,96%,/m/ida_2013/,1
256,For No Good Reason,2014,63%,/m/no_good_reason/,0
257,Young & Beautiful (Jeune Et Jolie),2014,73%,/m/young_and_beautiful_2013/,0
258,Brick Mansions,2014,27%,/m/brick_mansions/,1
259,Draft Day,2014,60%,/m/draft_day/,0
260,Only Lovers Left Alive,2014,86%,/m/only_lovers_left_alive/,0
261,Hateship Loveship,2014,50%,/m/hateship_loveship/,1
262,Nymphomaniac: Volume II,2014,60%,/m/nymphomaniac_volume_ii/,0
263,Alan Partridge,2014,87%,/m/alan_partridge/,1
264,The Unknown Known,2014,83%,/m/the_unknown_known/,1
265,Cesar Chavez,2014,39%,/m/cesar_chavez_an_american_hero/,0
266,Noah,2014,76%,/m/noah_2014/,1
267,Buzzard,2015,88%,/m/buzzard/,1
268,Enemy,2014,75%,/m/enemy_2013/,1
269,Need For Speed,2014,23%,/m/need_for_speed/,1
270,Le Week-End,2014,89%,/m/le_week_end/,1
271,The Grand Budapest Hotel,2014,92%,/m/the_grand_budapest_hotel/,1
272,Mr. Peabody & Sherman,2014,80%,/m/mr_peabody_and_sherman/,1
273,Particle Fever,2014,96%,/m/particle_fever/,1
274,The Lunchbox,2014,96%,/m/the_lunchbox/,1
275,3 Days To Kill,2014,28%,/m/3_days_to_kill/,0
276,Omar,2014,90%,/m/omar/,1
277,Winter's Tale,2014,13%,/m/winters_tale_2014/,0
278,Jimmy P.,2014,52%,/m/jimmy_p/,1
279,About Last Night,2014,69%,/m/about_last_night_2014/,1
280,The Pretty One,2014,47%,/m/the_pretty_one_2013/,0
281,The Last of the Unjust,2014,96%,/m/the_last_of_the_unjust/,1
282,The LEGO Movie,2014,96%,/m/the_lego_movie/,1
283,The Tightrope,2014,57%,/m/the_tightrope_2013/,1
284,Charlie Victor Romeo,2014,83%,/m/charlie_victor_romeo_2013/,1
285,Gimme Shelter,2014,23%,/m/gimme_shelter_2014/,0
286,Stranger by the Lake,2014,93%,/m/stranger_by_the_lake/,1
287,Gloria,2014,99%,/m/gloria_2012/,1
288,Jack Ryan: Shadow Recruit,2014,56%,/m/jack_ryan_shadow_recruit/,1
289,Generation War,2014,61%,/m/771363367/,1
290,The Legend of Hercules,2014,3%,/m/the_legend_of_hercules/,1
291,In Bloom,2014,94%,/m/grzeli_nateli_dgeebi/,1
292,August: Osage County,2013,64%,/m/august_osage_county/,0
293,Lone Survivor,2014,75%,/m/lone_survivor/,1
294,The Wolf of Wall Street,2013,77%,/m/the_wolf_of_wall_street_2013/,1
295,The Secret Life Of Walter Mitty,2013,50%,/m/the_secret_life_of_walter_mitty_2013/,0
296,The Selfish Giant,2013,97%,/m/the_selfish_giant_2013/,1
297,The New Rijksmuseum (Parts 1 and 2),2013,87%,/m/the_new_rijksmuseum_2013/,1
298,Anchorman 2: The Legend Continues,2013,75%,/m/anchorman_2_the_legend_continues/,1
299,Saving Mr. Banks,2013,78%,/m/saving_mr_banks_2013/,1
300,Twice Born,2013,17%,/m/twice_born/,0
301,Inside Llewyn Davis,2013,94%,/m/inside_llewyn_davis_2013/,1
302,Oldboy,2013,41%,/m/oldboy_2013/,0
303,Cousin Jules,2013,100%,/m/cousin_jules/,1
304,Nebraska,2013,91%,/m/nebraska/,1
305,Faust,2013,63%,/m/faust_2013/,1
306,Last Vegas,2013,46%,/m/last_vegas_2013/,0
307,Dallas Buyers Club,2013,94%,/m/dallas_buyers_club_2013/,1
308,About Time,2013,69%,/m/about_time/,0
309,The Square,2013,100%,/m/771363914/,1
310,All Is Lost,2013,94%,/m/all_is_lost_2013/,1
311,The Fifth Estate,2013,37%,/m/the_fifth_estate/,0
312,Kill Your Darlings,2013,75%,/m/kill_your_darlings_2013/,1
313,As I Lay Dying,2013,41%,/m/as_i_lay_dying_2013/,1
314,CBGB,2013,8%,/m/cbgb/,0
315,Escape From Tomorrow,2013,56%,/m/escape_from_tomorrow_2013/,0
316,Runner Runner,2013,8%,/m/runner_runner/,0
317,Gravity,2013,96%,/m/gravity_2013/,1
318,Metallica Through the Never,2013,79%,/m/metallica_through_the_never/,0
319,Shepard & Dark,2013,86%,/m/shepard_and_dark/,0
320,After Tiller,2013,94%,/m/after_tiller_2013/,1
321,Prisoners,2013,81%,/m/prisoners_2013/,1
322,Enough Said,2013,96%,/m/enough_said_2013/,1
323,Blue Caprice,2013,83%,/m/blue_caprice_2013/,1
324,Wadjda,2013,99%,/m/wadjda_2013/,1
325,Mother Of George,2013,93%,/m/mother_of_george_2013/,1
326,Adore,2013,31%,/m/adore_2013/,0
327,Salinger,2013,36%,/m/salinger/,0
328,Passion,2013,34%,/m/passion_2013/,1
329,Tokyo Waka: A City Poem,2013,100%,/m/tokyo_waka_a_city_poem_2013/,1
330,Drinking Buddies,2013,83%,/m/drinking_buddies_2013/,1
331,The World's End,2013,89%,/m/the_worlds_end/,1
332,Gatos Viejos (Old Cats),2011,83%,/m/gatos_viejos_2011/,1
333,Cutie And The Boxer,2013,96%,/m/cutie_and_the_boxer/,1
334,Ain't Them Bodies Saints,2013,79%,/m/aint_them_bodies_saints_2013/,0
335,Lee Daniels' The Butler,2013,71%,/m/lee_daniels_the_butler/,1
336,In a World...,2013,92%,/m/in_a_world_2013/,1
337,Prince Avalanche,2013,83%,/m/prince_avalanche_2013/,1
338,We're The Millers,2013,47%,/m/were_the_millers/,0
339,The Wolverine,2013,69%,/m/the_wolverine_2012/,1
340,The Act Of Killing,2013,96%,/m/the_act_of_killing/,1
341,Computer Chess,2013,87%,/m/computer_chess_2013/,1
342,Turbo,2013,67%,/m/turbo_2013/,1
343,Viola,2013,89%,/m/viola_2013/,1
344,Fruitvale Station,2013,94%,/m/fruitvale_station/,1
345,Pacific Rim,2013,71%,/m/pacific_rim_2013/,1
346,The Way Way Back,2013,85%,/m/the_way_way_back/,1
347,The Lone Ranger,2013,31%,/m/the_lone_ranger/,0
348,Museum Hours,2013,94%,/m/museum_hours/,1
349,The Heat,2013,65%,/m/the_heat/,1
350,Sing Me the Songs That Say I Love You: A Concert for Kate McGarrigle,2013,43%,/m/sing_me_the_songs_that_say_i_love_you_a_concert_for_kate_mcgarrigle_2013/,0
351,A Hijacking,2013,95%,/m/a_hijacking/,1
352,World War Z,2013,67%,/m/world-war-z/,1
353,The Bling Ring,2013,60%,/m/the_bling_ring_2013/,1
354,20 Feet From Stardom,2013,99%,/m/20_feet_from_stardom/,1
355,This Is the End,2013,83%,/m/this_is_the_end/,1
356,Violet & Daisy,2013,22%,/m/violet_and_daisy/,0
357,You Ain't Seen Nothin' Yet!,2013,83%,/m/you_aint_seen_nothin_yet/,1
358,Much Ado About Nothing,2013,84%,/m/much_ado_about_nothing_2012/,1
359,The East,2013,74%,/m/the_east_2013/,1
360,Hannah Arendt,2013,88%,/m/hannah_arendt/,1
361,Fill the Void,2013,88%,/m/fill_the_void/,1
362,Before Midnight,2013,98%,/m/before_midnight_2013/,1
363,Frances Ha,2013,93%,/m/frances_ha_2013/,1
364,Augustine,2013,73%,/m/augustine_2012/,1
365,Star Trek Into Darkness,2013,86%,/m/star_trek_into_darkness/,0
366,Venus And Serena,2013,77%,/m/venus_and_serena/,1
367,The Great Gatsby,2013,48%,/m/the_great_gatsby_2013/,1
368,Something in the Air,2013,82%,/m/something_in_the_air_2013/,1
369,What Maisie Knew,2013,87%,/m/what_maisie_knew_2012/,1
370,Journey to Italy (Viaggio in Italia) (Strangers) (The Lonely Woman),1954,95%,/m/journey-to-italy-viaggio-in-italia/,0
371,Voyage in Italy,1992,,/m/770853995/,1
372,Paradise: Love,2013,73%,/m/paradise_love/,1
373,Mud,2013,98%,/m/mud_2012/,1
374,Pain & Gain,2013,49%,/m/pain_and_gain/,0
375,Ain't In It For My Health: A Film About Levon Helm,2013,93%,/m/aint_in_it_for_my_health_a_film_about_levon_helm/,1
376,In the House,2013,89%,/m/in_the_house_2013/,0
377,42,2013,79%,/m/42_2013/,1
378,To The Wonder,2013,46%,/m/to_the_wonder/,0
379,Blancanieves,2013,94%,/m/blancanieves/,1
380,The Place Beyond The Pines,2013,80%,/m/the_place_beyond_the_pines_2012/,1
381,The Sapphires,2013,91%,/m/the_sapphires_2012/,1
382,Olympus Has Fallen,2013,48%,/m/olympus_has_fallen_2013/,0
383,Gimme The Loot,2013,92%,/m/gimme_the_loot_2012/,1
384,Admission,2013,39%,/m/admission/,1
385,From Up On Poppy Hill,2013,83%,/m/from_up_on_poppy_hill/,1
386,Ginger & Rosa,2013,80%,/m/ginger_and_rosa/,1
387,Philip Roth: Unmasked,2013,63%,/m/philip_roth_unmasked/,1
388,The Silence,2013,87%,/m/the_silence_2013/,1
389,Beyond The Hills,2013,90%,/m/beyond_the_hills_2012/,1
390,The We and the I,2013,68%,/m/the_we_and_the_i/,1
391,Stoker,2013,69%,/m/stoker_2013/,1
392,Leviathan,2013,84%,/m/leviathan_2012/,1
393,Welcome To Pine Hill,2013,83%,/m/welcome_to_pine_hill_2012/,1
394,A Good Day To Die Hard,2013,14%,/m/a_good_day_to_die_hard/,0
395,Night Across the Street,2013,93%,/m/night_across_the_street/,1
396,Side Effects,2013,83%,/m/side_effects_2013/,1
397,John Dies at the End,2013,60%,/m/john_dies_at_the_end/,1
398,Koch,2013,89%,/m/koch_2012/,1
399,The Taste of Money,2013,28%,/m/the_taste_of_money/,1
400,Parker,2013,41%,/m/parker_2012/,1
401,La pirogue,2013,79%,/m/la_pirogue/,1
402,Mission: Impossible Ghost Protocol,2011,94%,/m/mission_impossible_ghost_protocol/,0
403,Strip Mahjong: Battle Royale,2012,,/m/strip_mahjong_battle_royale_2011/,0
404,Hors Satan (Outside Satan),2013,78%,/m/hors_satan/,0
405,LUV,2013,36%,/m/luv_2011/,1
406,Quartet,2013,79%,/m/quartet_2012/,0
407,Gangster Squad,2013,31%,/m/gangster_squad_2012/,0
408,Promised Land,2013,51%,/m/1016837-promised_land/,0
409,Tabu,2012,87%,/m/tabu_2012/,0
410,Django Unchained,2012,88%,/m/django_unchained_2012/,1
411,The Impossible,2012,81%,/m/the_impossible_2012/,0
412,Cirque Du Soleil: Worlds Away,2012,47%,/m/cirque_du_soleil_worlds_away/,1
413,This is 40,2012,51%,/m/this_is_40/,1
414,Jack Reacher,2012,62%,/m/jack_reacher/,0
415,The Hobbit: An Unexpected Journey,2012,64%,/m/the_hobbit_an_unexpected_journey/,0
416,Consuming Spirits,2012,89%,/m/consuming_spirits/,1
417,Tchoupitoulas,2012,88%,/m/tchoupitoulas/,1
418,Lay the Favorite,2012,19%,/m/lay_the_favorite/,0
419,Wu xia (Dragon),2012,84%,/m/wu_xia/,0
420,Killing Them Softly,2012,74%,/m/killing_them_softly/,0
421,Beware Of Mr. Baker,2012,98%,/m/beware_of_mr_baker/,1
422,The Gatekeepers,2013,93%,/m/the_gatekeepers_2012/,1
423,De rouille et d'os (Rust and Bone),2012,82%,/m/de_rouille_et_dos_2012/,1
424,Rise of the Guardians,2012,73%,/m/rise_of_the_guardians_2012/,1
425,Life of Pi,2012,87%,/m/life-of-pi/,0
426,The Comedy,2012,45%,/m/the_comedy/,0
427,Mea Maxima Culpa: Silence In The House Of God,2012,98%,/m/mea_maxima_culpa_silence_in_the_house_of_god/,1
428,Anna Karenina,2012,63%,/m/anna_karenina_2012/,1
429,In Another Country,2013,83%,/m/in_another_country/,1
430,A Royal Affair,2012,89%,/m/en_kongelig_affaere/,0
431,Lincoln,2012,90%,/m/lincoln_2011/,1
432,This Must Be The Place,2012,65%,/m/this_must_be_the_place/,1
433,The Bay,2012,77%,/m/the_bay_2012/,0
434,Wreck-it Ralph,2012,86%,/m/wreck_it_ralph/,1
435,The Rolling Stones: Charlie Is My Darling - Ireland 1965,2012,100%,/m/the_rolling_stones_charlie_is_my_darling_ireland_1965/,1
436,The Other Son,2012,80%,/m/the_other_son/,1
