,Title,ReleaseYear_x,CriticsTomatometer,MovieUrl,AORotFresh,Genre,Run_Time,Studio,LifetimeGross,LifetimeTheaters,OpeningGross,OpeningTheaters,ReleaseYear_y
18,Popstar: Never Stop Never Stopping,2016,77%,/m/popstar_never_stop_never_stopping/,1,Comedy,86 minutes,Uni.,"$9,496,130","2,313","$4,698,715","2,311",6/3/2016
19,Popstar: Never Stop Never Stopping,2016,77%,/m/popstar_never_stop_never_stopping/,1,Comedy,86 minutes,Uni.,"$9,496,130","2,313","$4,698,715","2,311",6/3/2016
20,Chevalier,2016,85%,/m/chevalier/,1,Art House & International,99 minutes,Strand,"$25,443",7,"$5,968",3,5/27/2016
21,Unlocking the Cage,2016,79%,/m/unlocking_the_cage/,1,Documentary,91 minutes,FRun,"$26,292",3,"$3,708",1,5/25/2016
22,Maggie's Plan,2016,86%,/m/maggies_plan_2016/,1,Comedy,98 minutes,SPC,"$3,121,707",335,"$63,308",5,5/20/2016
23,O.J.: Made in America,2016,100%,/m/oj_made_in_america/,1,Documentary,464 minutes,,,,,,
24,The Nice Guys,2016,91%,/m/the_nice_guys/,0,Drama,116 minutes,WB,"$36,132,860","2,865","$11,203,270","2,865",5/20/2016
25,Love & Friendship,2016,99%,/m/love_and_friendship/,1,Drama,94 minutes,,,,,,
26,High-Rise,2016,62%,/m/high_rise_2016/,0,Action & Adventure,112 minutes,Magn.,"$323,899",41,"$79,887",39,5/13/2016
27,Money Monster,2016,57%,/m/money_monster/,1,Drama,90 minutes,TriS,"$40,959,010","3,104","$14,788,157","3,104",5/13/2016
28,The Lobster,2016,90%,/m/the_lobster/,1,Comedy,118 minutes,,,,,,
29,Dheepan,2016,89%,/m/dheepan/,1,Drama,100 minutes,IFC,"$241,789",26,"$20,249",2,5/6/2016
30,Captain America: Civil War,2016,90%,/m/captain_america_civil_war/,1,Action & Adventure,146 minutes,BV,"$406,660,632","4,226","$179,139,142","4,226",5/6/2016
31,The Wait (L'attesa),2016,65%,/m/the_wait_2016/,1,Art House & International,100 minutes,,,,,,
32,Eva Hesse,2016,85%,/m/eva_hesse_2016/,1,Documentary,108 minutes,Zeit.,"$122,009",7,"$12,780",1,4/27/2016
33,The Huntsman: Winter's War,2016,16%,/m/the_huntsman_winters_war/,0,Action & Adventure,121 minutes,Uni.,"$48,003,015","3,802","$19,445,035","3,791",4/22/2016
34,Nina,2016,3%,/m/nina_2016/,0,Drama,90 minutes,,,,,,
35,Sing Street,2016,97%,/m/sing_street/,1,Art House & International,106 minutes,Wein.,"$3,224,639",525,"$63,573",5,4/15/2016
36,Green Room,2016,91%,/m/green_room_2016/,1,Horror,94 minutes,A24,"$3,220,371",777,"$87,984",3,4/15/2016
37,Barbershop: The Next Cut,2016,90%,/m/barbershop_the_next_cut_2016/,1,Comedy,112 minutes,WB (NL),"$54,030,051","2,676","$20,242,415","2,661",4/15/2016
38,Barbershop: The Next Cut,2016,90%,/m/barbershop_the_next_cut_2016/,1,Comedy,112 minutes,WB (NL),"$54,030,051","2,676","$20,242,415","2,661",4/15/2016
39,Louder Than Bombs,2016,69%,/m/louder_than_bombs_2016/,0,Drama,105 minutes,,,,,,
40,11 Minutes (11 Minut),2016,71%,/m/11_minutes/,1,Art House & International,81 minutes,,,,,,
41,Staub (Dust),2007,80%,/m/staub-dust/,1,Art House & International,90 minutes,,,,,,
42,Vita Activa: The Spirit of Hannah Arendt,2016,93%,/m/771438709/,1,Documentary,125 minutes,Zeit.,"$82,143",4,"$13,244",1,4/6/2016
43,Vita Activa: The Spirit of Hannah Arendt,2016,93%,/m/771438709/,1,Documentary,125 minutes,Zeit.,"$82,143",4,"$13,244",1,4/6/2016
44,Vita Activa: The Spirit of Hannah Arendt,2016,93%,/m/771438709/,1,Documentary,125 minutes,Zeit.,"$82,143",4,"$13,244",1,4/6/2016
45,Notfilm,,100%,/m/notfilm/,1,Documentary,128 minutes,,,,,,
46,Francofonia,2016,88%,/m/francofonia/,1,Documentary,88 minutes,MBox,"$307,040",25,"$22,083",2,4/1/2016
47,Everybody Wants Some!!,2016,87%,/m/everybody_wants_some/,1,Comedy,117 minutes,Par.,"$3,400,278",454,"$312,355",19,3/30/2016
48,Batman v Superman: Dawn of Justice,2016,27%,/m/batman_v_superman_dawn_of_justice/,0,Action & Adventure,151 minutes,WB,"$330,360,194","4,256","$166,007,347","4,242",3/25/2016
49,The Clan (El Clan),2016,90%,/m/the_clan_2016/,1,Art House & International,108 minutes,,,,,,
50,Midnight Special,2016,83%,/m/midnight_special_2015/,1,Drama,111 minutes,WB,"$3,712,282",521,"$190,012",5,3/18/2016
51,Midnight Special,2016,83%,/m/midnight_special_2015/,1,Drama,111 minutes,WB,"$3,712,282",521,"$190,012",5,3/18/2016
52,City Of Gold,2016,90%,/m/city_of_gold_2016/,1,Documentary,91 minutes,,,,,,
53,Knight of Cups,2016,46%,/m/knight_of_cups/,0,Drama,118 minutes,BG,"$566,006",68,"$60,551",4,3/4/2016
54,Knight of Cups,2016,46%,/m/knight_of_cups/,0,Drama,118 minutes,BG,"$566,006",68,"$60,551",4,3/4/2016
55,The Club (El Club),2016,87%,/m/the_club_2016/,1,Art House & International,97 minutes,,,,,,
56,Rams (Hrútar),2016,95%,/m/rams/,1,Drama,90 minutes,,,,,,
57,"Rabin, the Last Day",2016,65%,/m/rabin_the_last_day/,1,Drama,153 minutes,,,,,,
58,Aferim!,2016,98%,/m/aferim/,1,Action & Adventure,108 minutes,BWP,"$105,097",8,"$15,892",5,1/22/2016
59,Bleak Street (La calle de la amargura),2016,50%,/m/bleak_street/,0,Art House & International,99 minutes,,,,,,
60,Ride Along 2,2016,15%,/m/ride_along_2/,0,Action & Adventure,102 minutes,Uni.,"$90,862,685","3,192","$35,243,095","3,175",1/15/2016
61,In The Shadow of Women,2016,94%,/m/in_the_shadow_of_women/,1,Art House & International,73 minutes,,,,,,
62,The Treasure,2016,93%,/m/the_treasure_2016/,1,Comedy,89 minutes,,,,,,
63,Joy,2015,61%,/m/joy_2014/,1,Drama,124 minutes,Fox,"$56,451,232","2,924","$17,015,168","2,896",12/25/2015
64,The Hateful Eight,2015,75%,/m/the_hateful_eight/,0,Western,167 minutes,Wein.,"$54,117,416","2,938","$4,610,676",100,12/25/2015
65,45 Years,2015,97%,/m/45_years/,1,Drama,95 minutes,IFC,"$4,247,285",251,"$65,775",3,12/23/2015
66,Son of Saul,2015,96%,/m/son_of_saul/,1,Drama,107 minutes,SPC,"$1,777,043",180,"$37,930",3,12/18/2015
67,Sisters,2015,60%,/m/sisters_2015/,0,Comedy,123 minutes,Uni.,"$87,044,645","2,978","$13,922,855","2,962",12/18/2015
68,The Big Short,2015,88%,/m/the_big_short/,1,Drama,130 minutes,Par.,"$70,259,870","2,529","$705,527",8,12/11/2015
69,Don Verdean,2015,30%,/m/don_verdean/,1,Comedy,95 minutes,LGP,"$31,309",40,"$12,907",40,12/11/2015
70,Krampus,2015,65%,/m/krampus/,0,Horror,98 minutes,Uni.,"$42,725,475","2,919","$16,293,325","2,902",12/4/2015
71,Youth,2015,73%,/m/youth_2015/,0,Comedy,123 minutes,FoxS,"$2,703,296",149,"$78,085",4,12/4/2015
72,"Arabian Nights: Volume 1 - The Restless One (As Mil e Uma Noites: Volume 1, O Inquieto)",2015,97%,/m/as_mil_e_uma_noites_volume_1_o_inquieto/,0,Drama,125 minutes,,,,,,
73,The Danish Girl,2015,68%,/m/the_danish_girl_2015/,0,Drama,120 minutes,Focus,"$11,114,018",794,"$187,318",4,11/27/2015
74,Creed,2015,94%,/m/creed_2015/,1,Drama,132 minutes,,,,,,
75,The Night Before,2015,66%,/m/the_night_before_2015/,0,Comedy,101 minutes,Sony,"$43,047,372","2,960","$9,880,536","2,960",11/20/2015
76,Carol,2015,94%,/m/carol/,1,Drama,118 minutes,Wein.,"$12,711,491",790,"$253,510",4,11/20/2015
77,The 33,2015,44%,/m/the_33/,1,Drama,120 minutes,WB,"$12,227,722","2,452","$5,787,266","2,452",11/13/2015
78,Miss You Already,2015,69%,/m/miss_you_already/,1,Art House & International,112 minutes,RAtt.,"$1,162,653",384,"$552,506",384,11/6/2015
79,Spotlight,2015,96%,/m/spotlight_2015/,1,Drama,129 minutes,ORF,"$45,055,776","1,227","$295,009",5,11/6/2015
80,Brooklyn,2015,97%,/m/brooklyn/,1,Drama,111 minutes,,,,,,
81,Nasty Baby,2015,67%,/m/nasty_baby/,1,Drama,100 minutes,Orch.,"$79,800",18,"$8,023",2,10/23/2015
82,Suffragette,2015,73%,/m/suffragette/,1,Art House & International,105 minutes,Focus,"$4,702,420",517,"$76,244",4,10/23/2015
83,The Assassin,2015,80%,/m/the_assassin_2015/,0,Action & Adventure,120 minutes,,,,,,
84,Crimson Peak,2015,71%,/m/crimson_peak/,0,Horror,119 minutes,Uni.,"$31,090,320","2,991","$13,143,310","2,984",10/16/2015
85,Beasts of No Nation,2015,92%,/m/beasts_of_no_nation/,1,Drama,120 minutes,BST,"$90,777",31,"$51,003",31,10/16/2015
86,Pan,2015,27%,/m/pan_2015/,0,Action & Adventure,135 minutes,,,,,,
87,Winter on Fire: Ukraine's Fight for Freedom,2015,95%,/m/winter_on_fire_ukraines_fight_for_freedom/,1,Documentary,120 minutes,,,,,,
88,Steve Jobs,2015,86%,/m/steve_jobs_2015/,1,Drama,123 minutes,Uni.,"$17,766,658","2,493","$521,522",4,10/9/2015
89,Jafar Panahi's Taxi,2015,95%,/m/jafar_panahis_taxi/,1,Documentary,82 minutes,KL,"$321,642",20,"$22,531",3,10/2/2015
90,Brand: A Second Coming,2015,71%,/m/brand_a_second_coming/,0,Comedy,105 minutes,,,,,,
91,The Walk,2015,85%,/m/the_walk_2015/,1,Action & Adventure,123 minutes,,,,,,
92,Mississippi Grind,2015,89%,/m/mississippi_grind/,1,Drama,108 minutes,A24,"$130,541",46,"$12,434",1,9/25/2015
93,99 Homes,2015,92%,/m/99_homes/,1,Drama,112 minutes,BG,"$1,411,927",691,"$32,253",2,9/25/2015
94,Sicario,2015,94%,/m/sicario_2015/,0,Action & Adventure,121 minutes,LGF,"$46,889,293","2,620","$401,288",6,9/18/2015
95,Black Mass,2015,75%,/m/black_mass_2015/,0,Drama,120 minutes,WB,"$62,575,678","3,188","$22,635,037","3,188",9/18/2015
96,Everest,2015,73%,/m/everest_2015/,0,Action & Adventure,94 minutes,,,,,,
97,Time Out Of Mind,2015,78%,/m/time_out_of_mind_2015/,1,Drama,117 minutes,,,,,,
98,Coming Home,2015,92%,/m/coming_home_2014/,1,Drama,109 minutes,,,,,,
99,The Black Panthers: Vanguard Of The Revolution,2015,93%,/m/the_black_panthers_vanguard_of_the_revolution_2015/,1,Documentary,113 minutes,,,,,,
100,When Animals Dream,2015,74%,/m/when_animals_dream/,1,Drama,85 minutes,,,,,,
101,The Iron Ministry,2015,86%,/m/the_iron_ministry/,1,Documentary,82 minutes,Icar.,"$3,159",3,$896,3,8/21/2015
102,Digging For Fire,2015,66%,/m/digging_for_fire/,1,Drama,85 minutes,,,,,,
103,Grandma,2015,92%,/m/grandma_2015/,1,Comedy,82 minutes,,,,,,
104,Ricki And The Flash,2015,65%,/m/ricki_and_the_flash/,0,Comedy,101 minutes,,,,,,
105,Fantastic Four,2015,9%,/m/fantastic_four_2015/,0,Action & Adventure,100 minutes,,,,,,
106,Best Of Enemies,2015,94%,/m/best_of_enemies_2015/,1,Documentary,87 minutes,,,,,,
107,The Kindergarten Teacher (Haganenet),2015,72%,/m/the_kindergarten_teacher/,1,Drama,120 minutes,,,,,,
108,The End Of The Tour,2015,91%,/m/the_end_of_the_tour_2015/,1,Drama,105 minutes,,,,,,
109,Phoenix,2015,98%,/m/phoenix_2015/,1,Art House & International,98 minutes,,,,,,
110,Southpaw,2015,61%,/m/southpaw_2015/,0,Drama,123 minutes,Wein.,"$52,421,953","2,772","$16,701,294","2,772",7/24/2015
111,Mr. Holmes,2015,88%,/m/mr_holmes/,1,Art House & International,104 minutes,RAtt.,"$17,737,646",898,"$2,434,908",361,7/17/2015
112,The Look of Silence,2015,96%,/m/the_look_of_silence/,1,Art House & International,103 minutes,Drft.,"$109,089",14,"$6,616",1,7/17/2015
113,Ant-Man,2015,81%,/m/antman/,1,Action & Adventure,115 minutes,,,,,,
114,"10,000 Km",2015,82%,/m/10000_km/,1,Drama,98 minutes,,,,,,
115,Self/less,2015,19%,/m/selfless_2015/,0,Drama,117 minutes,,,,,,
116,Stray Dog,2015,100%,/m/stray_dog_2015/,1,Documentary,98 minutes,,,,,,
117,A Poem Is A Naked Person,2015,85%,/m/a_poem_is_a_naked_person/,1,Documentary,90 minutes,,,,,,
118,Magic Mike XXL,2015,63%,/m/magic_mike_xxl/,1,Comedy,115 minutes,WB,"$66,013,057","3,376","$12,857,184","3,355",7/1/2015
119,Max,2015,34%,/m/max_2016/,0,Action & Adventure,111 minutes,,,,,,
120,The Princess Of France,2015,67%,/m/the_princess_of_france/,0,Art House & International,70 minutes,,,,,,
121,Dope,2015,88%,/m/dope_2015/,1,Comedy,115 minutes,ORF,"$17,506,470","2,002","$6,100,010","2,002",6/19/2015
122,Inside Out,2015,98%,/m/inside_out_2015/,1,Animation,94 minutes,BV,"$356,461,711","4,158","$90,440,272","3,946",6/19/2015
123,The Tribe,2015,88%,/m/the_tribe_2015/,1,Art House & International,130 minutes,Drft.,"$150,564",13,"$11,094",1,6/17/2015
124,Madame Bovary,2015,43%,/m/madame_bovary_2014/,0,Art House & International,118 minutes,Alc,"$44,235",15,"$20,841",15,6/12/2015
125,Me and Earl and the Dying Girl,2015,82%,/m/me_and_earl_and_the_dying_girl/,1,Drama,104 minutes,FoxS,"$6,758,416",870,"$196,496",15,6/12/2015
126,Love & Mercy,2015,91%,/m/love_and_mercy/,1,Drama,121 minutes,,,,,,
127,Spy,2015,94%,/m/spy_2015/,1,Comedy,117 minutes,Fox,"$110,825,712","3,715","$29,085,719","3,711",6/5/2015
128,A Pigeon Sat on a Branch Reflecting on Existence,2015,89%,/m/a_pigeon_sat_on_a_branch_reflecting_on_existence/,1,Art House & International,100 minutes,Magn.,"$222,989",17,"$25,313",2,6/3/2015
129,Entourage,2015,33%,/m/entourage/,0,Comedy,105 minutes,WB,"$32,363,404","3,108","$10,283,250","3,108",6/3/2015
130,Aloha,2015,19%,/m/aloha_2015/,0,Action & Adventure,105 minutes,Sony,"$21,067,116","2,815","$9,670,235","2,815",5/29/2015
131,Results,2015,83%,/m/results_2015/,1,Comedy,105 minutes,Magn.,"$104,507",21,"$17,782",3,5/29/2015
132,San Andreas,2015,48%,/m/san_andreas/,0,Action & Adventure,114 minutes,WB,"$155,190,832","3,812","$54,588,173","3,777",5/29/2015
133,Aloft,2015,16%,/m/aloft/,0,Drama,112 minutes,SPC,"$53,086",17,"$2,116",2,5/22/2015
134,Tomorrowland,2015,50%,/m/tomorrowland_2015/,0,Science Fiction & Fantasy,107 minutes,BV,"$93,436,322","3,972","$33,028,165","3,972",5/22/2015
135,Güeros,2015,94%,/m/gueros/,1,Comedy,106 minutes,,,,,,
136,Pitch Perfect 2,2015,66%,/m/pitch_perfect_2/,1,Comedy,114 minutes,Uni.,"$184,296,230","3,660","$69,216,890","3,473",5/15/2015
137,Animals,2015,85%,/m/animals_2014/,1,Drama,90 minutes,,,,,,
138,The Film Critic,2015,48%,/m/the_film_critic/,0,Art House & International,98 minutes,MBox,"$7,358",2,$839,2,5/15/2015
139,Mad Max: Fury Road,2015,97%,/m/mad_max_fury_road/,1,Action & Adventure,120 minutes,WB,"$153,636,354","3,722","$45,428,128","3,702",5/15/2015
140,Mad Max: Fury Road,2015,97%,/m/mad_max_fury_road/,1,Action & Adventure,120 minutes,WB,"$153,636,354","3,722","$45,428,128","3,702",5/15/2015
141,1001 Grams,2015,85%,/m/1001_grams/,1,Drama,93 minutes,KL,"$10,983",1,n/a,n/a,5/8/2015
142,Hot Pursuit,2015,7%,/m/dont_mess_with_texas_2014/,0,Action & Adventure,87 minutes,WB,"$34,580,201","3,037","$13,942,258","3,003",5/8/2015
143,Saint Laurent,2015,58%,/m/saint_laurent/,1,Art House & International,135 minutes,SPC,"$429,477",59,"$36,000",4,5/8/2015
144,Days of Grace,2015,63%,/m/days_of_grace/,1,Mystery & Suspense,133 minutes,Libre,"$4,308",1,"$2,213",1,5/1/2015
145,Welcome to Me,2015,73%,/m/welcome_to_me/,1,Comedy,87 minutes,Alc,"$608,852",119,"$34,920",2,5/1/2015
146,Far From the Madding Crowd,2015,86%,/m/far_from_the_madding_crowd_2014/,1,Drama,119 minutes,,,,,,
147,The Forger,2015,7%,/m/the_forger_2014/,0,Action & Adventure,92 minutes,,,,,,
148,Misery Loves Comedy,2014,36%,/m/misery_loves_comedy/,0,Comedy,95 minutes,Trib.,"$19,634",8,"$5,300",1,4/24/2015
149,Don't Think I've Forgotten: Cambodia's Lost Rock And Roll,2015,100%,/m/dont_think_ive_forgotten_cambodias_lost_rock_and_roll_2014/,1,Documentary,105 minutes,,,,,,
150,True Story,2015,44%,/m/true_story_2014/,0,Drama,100 minutes,FoxS,"$4,719,695",856,"$1,950,214",831,4/17/2015
151,Tangerines,2015,87%,/m/tangerines/,1,Drama,87 minutes,Gold.,"$144,501",12,"$5,180",1,4/17/2015
152,Child 44,2015,26%,/m/child_44/,0,Drama,137 minutes,LG/S,"$1,224,330",510,"$621,812",510,4/17/2015
153,Rebels of the Neon God,2015,100%,/m/rebels_of_the_neon_god/,1,Art House & International,106 minutes,BWP,"$28,791",4,n/a,n/a,4/10/2015
154,Dior and I,2015,82%,/m/dior_and_i/,0,Documentary,90 minutes,Orch.,"$1,028,953",105,"$45,772",2,4/10/2015
155,The Longest Ride,2015,30%,/m/the_longest_ride/,0,Drama,128 minutes,Fox,"$37,446,117","3,371","$13,019,686","3,366",4/10/2015
156,Lambert & Stamp,2015,87%,/m/lambert_and_stamp/,1,Documentary,120 minutes,SPC,"$183,320",31,"$13,500",3,4/3/2015
157,Cheatin',2015,86%,/m/cheatin/,1,Animation,78 minutes,,,,,,
158,Furious 7,2015,79%,/m/furious_7/,1,Action & Adventure,140 minutes,Uni.,"$353,007,020","4,022","$147,187,040","4,004",4/3/2015
159,Marfa Girl,2015,27%,/m/marfa_girl/,0,Drama,106 minutes,,,,,,
160,Get Hard,2015,29%,/m/get_hard/,0,Comedy,100 minutes,WB,"$90,411,453","3,212","$33,803,253","3,175",3/27/2015
161,While We're Young,2015,84%,/m/while_were_young/,1,Comedy,94 minutes,A24,"$7,587,485",762,"$227,688",4,3/27/2015
162,La Sapienza,2015,86%,/m/la_sapienza/,1,Drama,100 minutes,KL,"$135,392",6,n/a,n/a,3/20/2015
163,The Gunman,2015,17%,/m/the_gunman_2015/,0,Action & Adventure,115 minutes,ORF,"$10,664,749","2,816","$5,028,702","2,816",3/20/2015
164,Jauja,2015,88%,/m/jauja/,1,Comedy,108 minutes,CGld,"$60,231",3,"$8,314",2,3/20/2015
165,Two Men in Town,2015,47%,/m/two_men_in_town_2015/,0,Drama,120 minutes,,,,,,
166,Merchants Of Doubt,2015,85%,/m/merchants_of_doubt/,1,Documentary,96 minutes,,,,,,
167,Urok (The Lesson),2015,84%,/m/urok_2015/,0,Art House & International,105 minutes,,,,,,
168,Focus,2015,56%,/m/focus_2014/,1,Comedy,104 minutes,,,,,,
169,Maps to the Stars,2015,61%,/m/maps_to_the_stars/,1,Comedy,112 minutes,Focus,"$350,741",66,"$143,422",66,2/27/2015
170,McFarland USA,2015,80%,/m/mcfarland_usa/,1,Drama,129 minutes,,,,,,
171,Queen and Country,2015,78%,/m/queen_and_country/,1,Comedy,115 minutes,BBC,"$41,297",9,"$5,954",1,2/18/2015
172,Da Sweet Blood of Jesus,2015,43%,/m/da_sweet_blood_of_jesus/,1,Drama,123 minutes,,,,,,
173,Fifty Shades of Grey,2015,25%,/m/fifty_shades_of_grey/,0,Romance,110 minutes,Uni.,"$166,167,230","3,655","$85,171,450","3,646",2/13/2015
174,The Voices,2015,73%,/m/the_voices/,0,Comedy,107 minutes,,,,,,
175,Ballet 422,2015,86%,/m/ballet_422/,1,Documentary,72 minutes,Magn.,"$333,554",27,"$27,653",2,2/6/2015
176,Girlhood,2015,96%,/m/girlhood_2015/,1,Drama,113 minutes,,,,,,
177,Timbuktu,2015,99%,/m/timbuktu_2015/,1,Art House & International,97 minutes,Cohen,"$1,076,075",56,"$45,110",4,1/28/2015
178,The Duke Of Burgundy,2015,93%,/m/the_duke_of_burgundy/,1,Drama,106 minutes,,,,,,
179,Mommy,2015,89%,/m/mommy_2015/,1,Drama,140 minutes,,,,,,
180,Mille soleils,,,/m/mille_soleils/,1,Documentary,45 minutes,,,,,,
181,A Most Violent Year,2015,89%,/m/a_most_violent_year/,1,Action & Adventure,125 minutes,A24,"$5,749,134",818,"$172,788",4,12/31/2014
182,The Interview,2014,52%,/m/the_interview_2014/,1,Comedy,112 minutes,,,,,,
183,Big Eyes,2014,72%,/m/big_eyes/,1,Drama,106 minutes,Wein.,"$14,482,031","1,408","$3,001,738","1,307",12/25/2014
184,American Sniper,2015,72%,/m/american_sniper/,1,Action & Adventure,134 minutes,WB,"$350,126,372","3,885","$633,456",4,12/25/2014
185,Selma,2015,99%,/m/selma/,1,Drama,127 minutes,Par.,"$52,076,908","2,235","$571,450",19,12/25/2014
186,"Two Days, One Night",2014,97%,/m/two_days_one_night/,1,Drama,95 minutes,IFC,"$1,436,243",120,"$30,700",2,12/24/2014
187,Annie,2014,27%,/m/annie_2012/,0,Drama,118 minutes,,,,,,
188,Mr. Turner,2014,98%,/m/mr_turner/,1,Drama,149 minutes,SPC,"$3,958,500",120,"$109,000",5,12/19/2014
189,Exodus: Gods and Kings,2014,27%,/m/exodus_gods_and_kings/,0,Classics,142 minutes,Fox,"$65,014,513","3,503","$24,115,934","3,503",12/12/2014
190,The Salt of the Earth,2015,95%,/m/the_salt_of_the_earth/,0,Documentary,110 minutes,SPC,"$1,343,349",80,"$44,900",4,3/27/2015
191,The Salt of the Earth,2015,95%,/m/the_salt_of_the_earth/,0,Documentary,110 minutes,SPC,"$1,343,349",80,"$44,900",4,3/27/2015
192,Still Alice,2015,88%,/m/still_alice/,1,Drama,99 minutes,SPC,"$18,754,371","1,318","$197,000",12,1/16/2015
193,Wild,2014,90%,/m/wild_2014/,1,Drama,115 minutes,,,,,,
194,The Babadook,2014,98%,/m/the_babadook/,1,Drama,94 minutes,IFC,"$964,413",80,"$30,007",3,11/28/2014
195,The Imitation Game,2014,90%,/m/the_imitation_game/,1,Drama,114 minutes,Wein.,"$91,125,683","2,402","$479,352",4,11/28/2014
196,Happy Valley,2014,89%,/m/happy_valley_2014/,1,Documentary,100 minutes,,,,,,
197,Beyond the Lights,2014,82%,/m/beyond_the_lights/,1,Drama,102 minutes,Rela.,"$14,618,727","1,789","$6,200,284","1,789",11/14/2014
198,The Homesman,2014,81%,/m/the_homesman/,1,Drama,122 minutes,Saban,"$2,429,989",222,"$45,433",4,11/14/2014
199,Red Army,2015,97%,/m/red_army_2015/,1,Documentary,85 minutes,SPC,"$694,600",84,"$20,100",3,1/23/2015
200,Actress,2014,88%,/m/actress_2014/,1,Documentary,86 minutes,,,,,,
201,The Theory of Everything,2014,79%,/m/the_theory_of_everything_2014/,0,Drama,123 minutes,Focus,"$35,893,537","1,220","$208,763",5,11/7/2014
202,Interstellar,2014,71%,/m/interstellar_2014/,1,Action & Adventure,169 minutes,Par.,"$188,020,017","3,561","$47,510,360","3,561",11/5/2014
203,Horns,2014,41%,/m/horns/,1,Drama,123 minutes,RTWC,"$173,948",103,"$107,544",103,10/31/2014
204,Nightcrawler,2014,95%,/m/nightcrawler/,1,Drama,117 minutes,ORF,"$32,381,217","2,766","$10,441,000","2,766",10/31/2014
205,Adieu au langage (Goodbye to Language),2014,86%,/m/adieu_au_langage/,1,Drama,70 minutes,,,,,,
206,Laggies,2014,67%,/m/laggies/,0,Drama,100 minutes,A24,"$1,066,981",306,"$74,139",5,10/24/2014
207,White Bird in a Blizzard,2014,56%,/m/white_bird_in_a_blizzard/,0,Comedy,91 minutes,Magn.,"$33,821",14,"$6,302",4,10/24/2014
208,Citizenfour,2014,96%,/m/citizenfour/,1,Documentary,114 minutes,RTWC,"$2,800,870",105,"$126,321",5,10/24/2014
209,Dear White People,2014,91%,/m/dear_white_people/,1,Comedy,108 minutes,RAtt.,"$4,404,154",393,"$347,959",11,10/17/2014
210,Fury,2014,77%,/m/fury_2015/,1,Action & Adventure,135 minutes,,,,,,
211,Diplomacy,2014,93%,/m/diplomatie/,1,Drama,85 minutes,Zeit.,"$230,880",14,"$8,518",1,10/15/2014
212,The Judge,2014,48%,/m/the_judge_2014/,0,Comedy,142 minutes,WB,"$47,119,388","3,003","$13,116,226","3,003",10/10/2014
213,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,61%,/m/alexander_and_the_terrible_horrible_no_good_very_bad_day/,0,Kids & Family,80 minutes,BV,"$66,954,149","3,117","$18,360,230","3,088",10/10/2014
214,Whiplash,2014,94%,/m/whiplash_2014/,1,Drama,106 minutes,SPC,"$13,092,000",567,"$135,388",6,10/10/2014
