date	Comment_Count	Emoji_Count
10:15:57	19	6.0
10:15:59	17	1.0
10:16:00	17	1.0
10:16:02	11	2.0
10:16:03	33	3.0
10:16:04	18	3.0
10:16:06	12	3.0
10:16:07	44	4.0
10:16:08	18	1.0
10:16:10	18	3.0
10:16:11	23	3.0
10:16:13	21	0.0
10:16:14	25	4.0
10:16:16	15	0.0
10:16:17	19	2.0
10:16:19	18	3.0
10:16:20	33	1.0
10:16:21	23	6.0
10:16:23	30	1.0
10:16:24	17	2.0
10:16:26	17	3.0
10:16:27	16	2.0
10:16:29	20	0.0
10:16:30	18	2.0
10:16:32	11	1.0
10:16:33	24	4.0
10:16:35	15	1.0
10:16:36	20	1.0
10:16:38	15	1.0
10:16:39	24	5.0
10:16:41	15	1.0
10:16:42	40	5.0
10:16:43	19	2.0
10:16:45	17	4.0
10:16:46	33	6.0
10:16:47	15	3.0
10:16:49	17	4.0
10:16:50	24	6.0
10:16:51	13	5.0
10:16:52	12	3.0
10:16:53	23	7.0
10:16:54	14	5.0
10:16:55	14	2.0
10:16:56	25	5.0
10:16:57	14	2.0
10:16:58	9	2.0
10:16:59	32	9.0
10:17:00	19	4.0
10:17:02	13	1.0
10:17:03	19	2.0
10:17:05	8	1.0
10:17:06	37	2.0
10:17:07	18	2.0
10:17:09	15	2.0
10:17:10	18	4.0
10:17:12	11	0.0
10:17:13	21	3.0
10:17:15	16	2.0
10:17:16	19	2.0
10:17:18	7	0.0
10:17:19	39	8.0
10:17:20	14	2.0
10:17:22	19	3.0
10:17:23	15	3.0
10:17:25	19	2.0
10:17:26	16	1.0
10:17:28	17	2.0
10:17:29	14	3.0
10:17:31	17	1.0
10:17:32	30	5.0
10:17:33	26	5.0
10:17:35	18	2.0
10:17:36	15	3.0
10:17:38	10	0.0
10:17:39	25	7.0
10:17:41	15	4.0
10:17:42	18	1.0
10:17:44	18	5.0
10:17:45	14	3.0
10:17:47	13	3.0
10:17:48	19	6.0
10:17:50	13	1.0
10:17:51	30	8.0
10:17:52	14	3.0
10:17:53	11	2.0
10:17:54	29	10.0
10:17:55	19	6.0
10:17:57	16	3.0
10:17:58	16	2.0
10:18:00	11	4.0
10:18:01	30	8.0
10:18:02	14	5.0
10:18:03	6	1.0
10:18:04	29	7.0
10:18:05	13	4.0
10:18:06	10	4.0
10:18:07	29	6.0
10:18:08	16	5.0
10:18:09	13	1.0
10:18:10	24	4.0
10:18:12	6	2.0
10:18:13	25	6.0
10:18:14	16	4.0
10:18:15	1	1.0
10:18:16	22	4.0
10:18:17	21	4.0
10:18:19	8	1.0
10:18:20	24	4.0
10:18:21	16	3.0
10:18:22	12	1.0
10:18:23	24	5.0
10:18:24	11	1.0
10:18:25	9	2.0
10:18:26	23	4.0
10:18:27	15	3.0
10:18:28	9	2.0
10:18:29	25	3.0
10:18:30	13	0.0
10:18:31	7	1.0
10:18:32	38	7.0
10:18:33	20	3.0
10:18:35	13	1.0
10:18:36	19	1.0
10:18:38	17	3.0
10:18:39	17	3.0
10:18:41	11	1.0
10:18:42	22	7.0
10:18:44	11	1.0
10:18:45	27	8.0
10:18:46	24	6.0
10:18:48	16	4.0
10:18:49	19	6.0
10:18:51	15	6.0
10:18:52	20	7.0
10:18:54	16	4.0
10:18:55	28	9.0
10:18:57	19	8.0
10:18:58	31	9.0
10:19:00	13	2.0
10:19:01	27	4.0
10:19:03	8	1.0
10:19:04	24	5.0
10:19:05	16	1.0
10:19:06	2	0.0
10:19:07	27	4.0
10:19:08	15	4.0
10:19:09	2	1.0
10:19:10	33	2.0
10:19:11	10	2.0
10:19:12	4	1.0
10:19:13	36	3.0
10:19:14	18	4.0
10:19:16	18	0.0
10:19:17	23	1.0
10:19:19	25	5.0
10:19:20	30	6.0
10:19:22	14	2.0
10:19:23	17	2.0
10:19:25	15	2.0
10:19:26	17	5.0
10:19:28	13	4.0
10:19:29	28	9.0
10:19:30	15	4.0
10:19:31	6	1.0
10:19:32	36	11.0
10:19:33	18	2.0
10:19:34	7	1.0
10:19:35	35	9.0
10:19:36	17	0.0
10:19:38	14	1.0
10:19:39	39	4.0
10:19:40	21	3.0
10:19:42	23	1.0
10:19:43	40	7.0
10:19:45	26	4.0
10:19:46	26	4.0
10:19:48	30	8.0
10:19:49	33	7.0
10:19:51	29	11.0
10:19:52	35	6.0
10:19:54	32	8.0
10:19:55	20	5.0
10:19:57	26	5.0
10:19:58	42	7.0
10:20:00	23	11.0
10:20:01	31	5.0
10:20:03	30	9.0
10:20:04	26	6.0
10:20:06	21	5.0
10:20:07	39	8.0
10:20:09	18	3.0
10:20:10	30	8.0
10:20:12	17	1.0
10:20:13	25	7.0
10:20:15	13	4.0
10:20:16	25	4.0
10:20:18	15	5.0
10:20:19	24	6.0
10:20:21	14	2.0
10:20:22	29	3.0
10:20:23	20	2.0
10:20:25	17	3.0
10:20:26	27	3.0
10:20:28	17	5.0
10:20:29	16	6.0
10:20:31	28	7.0
10:20:32	23	5.0
10:20:34	38	17.0
10:20:35	41	16.0
10:20:37	15	6.0
10:20:38	22	7.0
10:20:40	20	4.0
10:20:41	25	2.0
10:20:43	22	7.0
10:20:44	17	3.0
10:20:46	14	4.0
10:20:47	36	5.0
10:20:48	18	2.0
10:20:50	13	2.0
10:20:51	30	4.0
10:20:52	17	4.0
10:20:53	16	4.0
10:20:54	25	4.0
10:20:55	12	3.0
10:20:56	10	2.0
10:20:57	31	4.0
10:20:58	23	4.0
10:21:00	15	3.0
10:21:01	18	1.0
10:21:02	20	3.0
10:21:03	12	3.0
10:21:04	24	6.0
10:21:05	26	5.0
10:21:07	21	4.0
10:21:08	18	8.0
10:21:10	18	7.0
10:21:11	20	4.0
10:21:13	14	5.0
10:21:14	30	10.0
10:21:15	18	9.0
10:21:17	17	4.0
10:21:18	19	4.0
10:21:19	22	6.0
10:21:20	16	4.0
10:21:21	18	4.0
10:21:23	11	4.0
10:21:24	35	9.0
10:21:25	18	3.0
10:21:27	15	3.0
10:21:28	21	2.0
10:21:30	17	6.0
10:21:31	18	5.0
10:21:33	23	8.0
10:21:34	31	12.0
10:21:36	42	16.0
10:21:37	54	23.0
10:21:39	58	29.0
10:21:40	77	37.0
10:21:42	40	20.0
10:21:43	74	35.0
10:21:45	40	19.0
10:21:46	56	22.0
10:21:48	35	20.0
10:21:49	56	21.0
10:21:51	18	8.0
10:21:52	47	21.0
10:21:54	22	8.0
10:21:55	30	9.0
10:21:57	14	4.0
10:21:58	39	9.0
10:22:00	12	4.0
10:22:01	23	6.0
10:22:03	16	4.0
10:22:04	30	6.0
10:22:05	1	0.0
10:22:06	17	5.0
10:22:07	29	6.0
10:22:09	6	3.0
10:22:10	39	7.0
10:22:11	26	8.0
10:22:13	12	3.0
10:22:14	22	5.0
10:22:16	25	3.0
10:22:17	13	2.0
10:22:19	12	4.0
10:22:20	29	7.0
10:22:21	16	2.0
10:22:22	7	0.0
10:22:23	18	3.0
10:22:24	11	2.0
10:22:25	17	0.0
10:22:26	26	6.0
10:22:27	13	0.0
10:22:28	10	1.0
10:22:29	33	1.0
10:22:30	19	4.0
10:22:32	18	3.0
10:22:33	23	1.0
10:22:35	13	0.0
10:22:36	37	2.0
10:22:37	20	1.0
10:22:39	15	1.0
10:22:40	19	3.0
10:22:41	18	1.0
10:22:42	12	1.0
10:22:43	14	1.0
10:22:44	11	1.0
10:22:45	7	0.0
10:22:46	22	2.0
10:22:47	17	2.0
10:22:48	8	1.0
10:22:49	21	5.0
10:22:50	21	4.0
10:22:51	5	1.0
10:22:52	27	4.0
10:22:53	11	0.0
10:22:54	1	0.0
10:22:55	19	5.0
10:22:56	18	2.0
10:22:57	13	3.0
10:22:58	12	1.0
10:22:59	18	4.0
10:23:00	8	1.0
10:23:01	4	1.0
10:23:02	11	1.0
10:23:03	19	3.0
10:23:04	10	4.0
10:23:05	9	5.0
10:23:06	29	16.0
10:23:07	13	7.0
10:23:08	4	4.0
10:23:09	53	42.0
10:23:10	26	21.0
10:23:12	17	12.0
10:23:13	25	18.0
10:23:15	18	11.0
10:23:16	20	14.0
10:23:18	14	7.0
10:23:19	34	22.0
10:23:20	16	9.0
10:23:22	14	9.0
10:23:23	31	20.0
10:23:24	11	2.0
10:23:25	12	3.0
10:23:26	33	13.0
10:23:27	18	8.0
10:23:29	20	8.0
10:23:30	31	16.0
10:23:32	15	4.0
10:23:33	26	11.0
10:23:35	12	4.0
10:23:36	29	13.0
10:23:37	14	7.0
10:23:38	18	6.0
10:23:39	21	6.0
10:23:41	19	6.0
10:23:42	18	8.0
10:23:44	10	3.0
10:23:45	32	10.0
10:23:46	17	5.0
10:23:48	12	3.0
10:23:49	40	11.0
10:23:50	15	1.0
10:23:52	25	8.0
10:23:53	22	2.0
10:23:55	16	8.0
10:23:56	17	5.0
10:23:58	22	5.0
10:23:59	21	5.0
